314,121
322,133
330,146
332,159
330,174
334,187
335,204
341,224
344,237
347,253
355,265
369,278
381,284
398,294
407,301
412,309
419,323
432,320
445,318
452,325
463,329
478,327
496,336
511,342
521,341
534,357
550,373
563,376
577,382
585,392
608,397
624,396
637,390
653,389
672,399
681,409
695,420
708,429
721,434
733,445
741,451
754,459
763,470
774,481
793,490
808,499
816,513
819,521
821,537
818,553
812,567
811,581
804,596
784,610
772,618
767,631
757,645
745,653
732,657
719,667
711,680
700,687
677,692
662,689
650,685
634,687
619,686
599,681
589,683
580,677
590,662
610,663
631,661
637,656
644,652
658,652
674,649
686,642
697,624
704,611
699,600
691,610
