355,177
347,180
338,189
331,201
328,222
332,235
345,253
358,260
371,261
386,257
405,264
419,268
433,267
454,275
466,280
485,281
500,280
516,284
525,292
536,302
549,307
572,308
586,317
598,327
613,333
627,334
645,345
660,354
674,363
689,368
702,377
716,384
729,391
740,410
744,418
752,430
766,438
775,451
780,473
790,486
799,499
802,515
799,530
798,544
803,560
801,574
796,588
781,602
765,613
756,624
743,632
730,634
714,632
699,626
687,615
681,604
677,586
679,575
685,561
696,550
709,544
725,543
739,545
753,552
765,563
772,577
