239,110
249,129
256,142
268,150
282,166
292,177
305,184
316,197
328,205
342,208
354,215
363,229
372,243
373,258
387,274
392,289
393,299
400,306
405,313
402,321
421,323
434,326
442,329
446,336
455,333
469,331
482,324
493,326
505,309
515,298
527,288
536,279
566,332
571,343
582,354
599,369
609,379
622,385
638,383
652,393
656,407
666,398
687,388
703,380
719,365
727,354
733,348
748,350
755,354
768,355
777,350
775,336
760,327
744,331
731,338
722,352
710,357
715,379
719,394
728,400
717,415
726,412
735,407
746,423
744,432
755,444
770,447
785,453
798,464
807,481
811,488
819,507
827,522
830,538
826,552
819,565
808,575
795,583
787,596
776,606
771,613
761,627
755,642
745,653
736,657
720,665
707,672
693,677
678,676
671,672
652,668
642,662
633,653
622,654
607,658
611,649
620,639
623,627
636,617
649,615
671,621
686,625
709,628
724,631
745,631
