300,139
310,150
316,161
321,177
327,189
331,204
336,216
346,229
352,243
357,256
367,267
374,271
383,281
382,294
391,292
400,303
412,313
422,321
437,325
450,323
460,319
471,326
480,338
493,346
507,349
518,359
531,367
544,371
558,379
573,396
587,411
606,407
621,399
642,401
652,398
671,410
680,420
693,418
703,434
702,447
716,452
723,458
734,464
743,468
751,471
762,479
772,480
784,483
791,487
802,496
807,502
814,520
820,536
820,555
821,569
822,583
812,604
807,617
807,632
801,647
791,658
775,666
765,675
750,689
738,691
728,694
