247,508
240,503
230,493
224,482
221,468
226,447
234,436
239,430
253,426
265,421
275,410
288,392
305,382
318,374
325,363
336,351
352,341
369,327
382,319
397,303
416,295
437,285
447,273
458,265
474,262
487,261
500,255
510,243
524,237
545,234
558,231
565,227
580,221
594,221
616,226
629,221
659,227
674,231
688,232
707,242
728,251
741,256
754,265
761,278
768,291
775,306
779,321
775,337
768,351
756,360
749,364
734,368
720,367
712,364
699,356
690,347
683,333
682,318
685,304
693,291
704,282
720,276
735,276
750,279
767,292
772,298
776,307
779,320
777,333
773,342
765,354
752,362
741,366
726,367
711,364
703,360
692,352
684,339
679,325
680,312
